user_id,age,last_month_salary,debt_ratio,using_lines_not_secured_personal_assets,total_loan,more_90_days_overdue,default_flag,age_risk,salary_risk,debt_ratio_risk,using_lines_risk,total_loan_risk,more_90_days_risk,risk_score,user_risk_category
33474,21,5400,112.0,0.9999999,1,0,0,1,0,0,1,1,0,3,33474 - Risco Moderado a Baixo de Inadimplência
35630,21,700,0.0,0.9999999,1,0,0,1,1,0,1,1,0,4,35630 - Maior Risco de Inadimplência
18209,21,1300,0.101460415,0.512479201,1,0,0,1,1,0,0,1,0,3,18209 - Risco Moderado a Baixo de Inadimplência
28075,21,5400,12.0,0.816367265,1,0,0,1,0,0,1,1,0,3,28075 - Risco Moderado a Baixo de Inadimplência
8870,21,5400,0.0,0.9999999,1,0,0,1,0,0,1,1,0,3,8870 - Risco Moderado a Baixo de Inadimplência
3985,21,3300,0.001211754,0.289421158,1,0,0,1,1,0,0,1,0,3,3985 - Risco Moderado a Baixo de Inadimplência
2932,21,5400,9.0,0.445078459,1,0,0,1,0,0,0,1,0,2,2932 - Risco Moderado a Baixo de Inadimplência
17258,21,845,0.0,0.0,1,0,0,1,1,0,0,1,0,3,17258 - Risco Moderado a Baixo de Inadimplência
4732,21,550,0.176043557,0.9999999,1,0,0,1,1,0,1,1,0,4,4732 - Maior Risco de Inadimplência
18682,21,5400,34.0,0.9999999,1,0,0,1,0,0,1,1,0,3,18682 - Risco Moderado a Baixo de Inadimplência
22623,21,2420,0.005369682,0.898203593,1,0,0,1,1,0,1,1,0,4,22623 - Maior Risco de Inadimplência
35429,21,2250,0.107507774,0.626674665,1,0,0,1,1,0,0,1,0,3,35429 - Risco Moderado a Baixo de Inadimplência
12520,21,0,0.0,0.0,1,0,0,1,1,0,0,1,0,3,12520 - Risco Moderado a Baixo de Inadimplência
2303,21,5400,672.0,0.974392418,1,0,0,1,0,0,1,1,0,3,2303 - Risco Moderado a Baixo de Inadimplência
24559,21,0,0.0,0.017964072,1,0,0,1,1,0,0,1,0,3,24559 - Risco Moderado a Baixo de Inadimplência
15009,21,1,0.0,0.0,1,0,0,1,1,0,0,1,0,3,15009 - Risco Moderado a Baixo de Inadimplência
16848,21,0,0.0,0.0,1,0,0,1,1,0,0,1,0,3,16848 - Risco Moderado a Baixo de Inadimplência
9754,21,854,0.0,0.9999999,1,0,0,1,1,0,1,1,0,4,9754 - Maior Risco de Inadimplência
